question_id,question,question_type,question_source,expected_focus,system,is_stylised,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
Q6,How does the family feud shape the tragedy?,contextual_qa,instructor,"The feud creates violence, secrecy, pressure, miscommunication, and ultimately the conditions for the lovers' deaths.",baseline,,N/A (no retrieval),"The family feud plays a crucial role in shaping the tragic nature of Shakespeare's play ""Romeo and Juliet."" The feud between the Capulets and Montagues is a source of conflict that drives the plot and ultimately leads to the tragic deaths of the two star-crossed lovers. The feud is a representation of the deep-rooted hatred and enmity that exists between the two families, and it serves as a constant source of tension and friction throughout the play. The feud also highlights the destructive nature of jealousy and the destructive impact it can have on the lives of those involved. By exposing the true nature of the feud and its underlying causes, Shakespeare is able to create a compelling and emotional portrayal of the tragic events that unfold.",,,,,,
Q6,How does the family feud shape the tragedy?,contextual_qa,instructor,"The feud creates violence, secrecy, pressure, miscommunication, and ultimately the conditions for the lovers' deaths.",rag,False,"[Rank 1, score=0.557] [Romeo and Juliet, Act 0, Scene 0 (Prologue)]
Summary: The prologue introduces the feud and announces that the lovers’ deaths will end it.
Summary: The prologue introduces the feud and announces that the lovers’ deaths will end it.
Keywords: prologue, feud, fate
Location: Prologue
[Enter Chorus.]
CH
---
[Rank 2, score=0.414] [Macbeth, Act 1, Scene 1 (A desert place. Thunder and lightning)]
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Keywords: witches, prophecy, foul and fair
Location: A desert place. Thu
---
[Rank 3, score=0.390] [Romeo and Juliet, Act 3, Scene 5 (Capulet's orchard)]
Summary: Romeo and Juliet part, and Juliet resists her father’s marriage plan.
Some grief shows much of love; But much of grief shows still some want of wit. 
 JULIET. Yet let me weep for such a feeling loss. 
 LADY. So shall you feel the loss, ","The family feud is the central theme of Shakespeare's tragedy ""Romeo and Juliet."" The feud between the Capulet and Montague families, which causes the lovers' tragic deaths, is what drives the plot and creates the emotional and psychological turmoil within the characters. The feud affects the families' relationships, affects their personal lives, and ultimately contributes to the tragedy.

The feud begins when the Montagues and Capulets meet for the first time at a feast, and the Capulets are initially hostile towards the Montagues. However, as the feast progresses, the Montagues become more interested in the Capulets, and the feud escalates. The feud is fueled by jealousy, resentment, and a desire for revenge.

The feud also impacts the personal lives of the characters. Romeo and Juliet's families are divided by the feud, and this causes tension and conflict in their relationships. Juliet's father, the jealous and envious Lord Capulet, is especially hostile towards Romeo and his family. This contributes to their tragic fates.

The feud also affects the characters' personal lives. Juliet's love for Romeo is central to the tragedy, and her fear and desire for love are a central theme. Her parents' fear and jealousy also play a role in her desire for Romeo, as they see her as a threat to their marriage plans.

Finally, the feud creates a sense of psychological turmoil for the characters. The feud leads to a loss of faith in their loved ones and a breakdown in their relationships. This contributes to the tragic fate of the characters.

In summary, the family feud is the central theme of ""Romeo and Juliet"" and drives the plot and contributes to the tragic fate of the characters. The feud creates emotional and psychological turmoil, contributes to the breakdown of relationships, and ultimately leads to the tragic deaths of Romeo and Juliet.",,,,,,
G1,Who is Lady Macbeth and what role does she play?,concept_explanation,group,"Lady Macbeth is Macbeth's wife who drives him to murder Duncan; she shows ambition, manipulation, and later guilt leading to madness.",baseline,,N/A (no retrieval),"Lady Macbeth is a character in William Shakespeare's play ""Macbeth."" She is the wife of the title character and a powerful force in his life. Lady Macbeth plays a significant role in driving Macbeth's descent into madness and ultimately his downfall. She encourages him to commit murder and manipulates him into taking the blame for the crime, setting in motion the tragic events that follow. Her power and ambition overshadow her husband's conscience and ultimately lead to their downfall.",,,,,,
G1,Who is Lady Macbeth and what role does she play?,concept_explanation,group,"Lady Macbeth is Macbeth's wife who drives him to murder Duncan; she shows ambition, manipulation, and later guilt leading to madness.",rag,False,"[Rank 1, score=0.614] [Macbeth, Act 3, Scene 2 (The palace)]
Summary: Macbeth and Lady Macbeth reflect on insecurity after gaining power.
Summary: Macbeth and Lady Macbeth reflect on insecurity after gaining power.
Keywords: insecurity, power
Location: The palace
[Enter Lady Macbeth and a Servant.]
LADY MACBETH. Is Banqu
---
[Rank 2, score=0.611] [Macbeth, Act 3, Scene 1]
Summary: Macbeth fears Banquo and arranges to murder him and Fleance.
Summary: Macbeth fears Banquo and arranges to murder him and Fleance. 
 Keywords: Banquo, Fleance, paranoia 
 FORRES. The palace. 
 [Enter Banquo.] 
 BANQUO. Thou hast it now: King, Cawdor, Glamis, all, A
---
[Rank 3, score=0.598] [Macbeth, Act 1, Scene 5]
Summary: Lady Macbeth reads Macbeth’s letter and resolves to push him toward murder.
Summary: Lady Macbeth reads Macbeth’s letter and resolves to push him toward murder.
Keywords: Lady Macbeth, letter, murder
INVERNESS. Macbeth's castle.
[Enter Lady Macbeth, reading a lette","Lady Macbeth is a major character in Shakespeare's play ""Macbeth,"" and her role in the story is to motivate and push Macbeth toward murder. She is portrayed as a woman who is deeply in love with Macbeth, but is also driven by a desire for power and glory. Her letter to Macbeth, which she reads aloud, is a letter of instruction that outlines her plan to push him toward murder. She also refers to herself as ""Thane of Cawdor"" and suggests that he should not lose the dues of rejoicing by being ignorant of what greatness is promised him. Lady Macbeth is portrayed as a character who is both manipulative and deeply insecure, as she fears that Macbeth's nature is too full of ambition and she believes that he will not be able to keep his promises. Throughout the play, she is portrayed as a villain who is determined to use Macbeth's power and success to further her own agenda.",,,,,,
G2,Who is Claudius and why is he important?,concept_explanation,group,"Claudius is Hamlet's uncle who murdered Hamlet's father, married Gertrude, and became king. He is the central antagonist.",baseline,,N/A (no retrieval),"Certainly! Claudius is one of the main characters in Shakespeare's play, Hamlet. He is a powerful and ruthless king of Denmark who is portrayed as a cold-hearted and manipulative villain. Claudius is important because he is the father of Hamlet's mother, Gertrude, and therefore the one responsible for her death. Claudius's manipulation of events throughout the play, particularly his plot to have Hamlet killed, reveals his true intentions and motivations. His character is complex and multifaceted, making him a fascinating and important figure in Shakespeare's play.",,,,,,
G2,Who is Claudius and why is he important?,concept_explanation,group,"Claudius is Hamlet's uncle who murdered Hamlet's father, married Gertrude, and became king. He is the central antagonist.",rag,False,"[Rank 1, score=0.589] [Hamlet, Act 3, Scene 3 (A room in the Castle)]
Summary: Hamlet finds Claudius praying but delays killing him.
Summary: Hamlet finds Claudius praying but delays killing him. 
 Keywords: delay, prayer 
 Location: A room in the Castle 
 [Enter King, Rosencrantz, and Guildenstern.] 
 CLAUDIUS. I like h
---
[Rank 2, score=0.570] [Hamlet, Act 4, Scene 3]
Summary: Claudius sends Hamlet to England with secret orders for his death.
Summary: Claudius sends Hamlet to England with secret orders for his death.
Keywords: England, plot
ELSINORE. A room in the Castle.
[Enter King.]
CLAUDIUS. I have sent to seek him and to find the bod
---
[Rank 3, score=0.542] [Hamlet, Act 2, Scene 2]
Summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.
Summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius. 
 Keywords: players, Mousetrap 
 ELSINORE. A room in the Castle. 
 FLOURISH. [Enter King an","Claudius is the husband of Gertrude and the father of Hamlet. He is a powerful and ambitious man who seeks to usurp the throne from his brother, King Hamlet. He is a key player in the play, as he is the one who murders Hamlet's father and attempts to kill him on stage. Claudius's character is complex, as he is both a cruel and calculating man, who seeks to rule his kingdom and his family, and a victim of his own hubris and greed. His actions throughout the play are driven by his desire for power and control, and he is ultimately responsible for the tragic events that unfold.",,,,,,
G3,Who is Mercutio and what happens to him?,concept_explanation,group,"Mercutio is Romeo's witty friend; Tybalt kills him in Act 3, which triggers Romeo to kill Tybalt and leads to banishment.",baseline,,N/A (no retrieval),"Mercutio is a character in William Shakespeare's play ""Romeo and Juliet."" He is a young man who is a friend of Romeo, but he dies by falling into a pit created by the Montagues. In the play, Mercutio's death is a significant moment because it highlights the contrast between the two rival families and the tragic consequences of their rivalry. Mercutio's death is a result of his recklessness and his desire to challenge the societal norms that dictate what is proper behavior for men of his class.",,,,,,
G3,Who is Mercutio and what happens to him?,concept_explanation,group,"Mercutio is Romeo's witty friend; Tybalt kills him in Act 3, which triggers Romeo to kill Tybalt and leads to banishment.",rag,False,"[Rank 1, score=0.558] [Romeo and Juliet, Act 3, Scene 1 (A public place)]
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished. 
 Keywords: Tybalt, Mercutio, banishment 
 Location: A public place 
 [Enter Mercutio, Benvolio, and Men.] 
 BEN
---
[Rank 2, score=0.468] [Romeo and Juliet, Act 2, Scene 4 (A street)]
Summary: Romeo arranges marriage plans through the Nurse.
Summary: Romeo arranges marriage plans through the Nurse. 
 Keywords: Nurse, message 
 Location: A street 
 [Enter Benvolio and Mercutio.] 
 MERCUTIO. Where the devil should this Romeo be? Came he
---
[Rank 3, score=0.421] [Romeo and Juliet, Act 2, Scene 1 (A lane by the wall of Capulet's orchard)]
Summary: Romeo hides from his friends after the feast.
Summary: Romeo hides from his friends after the feast.
Keywords: Romeo, secrecy
Location: A lane by the wall of Capulet's orchard
[Enter Romeo alone.]
ROMEO. Can I go f","Mercutio is a minor character in Shakespeare's play ""Romeo and Juliet,"" and he is portrayed as a character who is known for his wit, charm, and cunning. He is often seen as a comic relief in the play, and his interactions with other characters often involve him making sarcastic or witty remarks. However, in Act 3, Scene 1 of the play, Mercutio becomes seriously injured after being hit by Tybalt, the Capulet rival who is trying to kill Romeo. The injury causes Mercutio to lose his life, and his death is a significant event in the play that affects Romeo deeply.

After Mercutio's death, Romeo becomes increasingly despondent and distraught, and his grief is evident in his speeches and actions. He is seen as a man who has lost his mind, and his attempts to reconcile with his love for Rosaline are met with resistance and anger from her. This conflict between Romeo and his love is a central theme of the play, and it is through his relationship with Rosaline that Romeo must confront his own feelings of love and grief.

In the end, Romeo's love for Rosaline is ultimately able to heal him, and he returns to Capulet with his wife, Juliet. However, Mercutio's death serves as a reminder of the fragility of life and the importance of cherishing the relationships we have with the people we love.",,,,,,
G4,What do the witches predict for Macbeth and Banquo?,evidence_retrieval,group,The witches predict Macbeth will be Thane of Cawdor and king; Banquo's descendants will be kings. Evidence from Act 1 Scene 3.,baseline,,N/A (no retrieval),"The witches in Shakespeare's play Macbeth and Banquo predict that Macbeth will become King and Banquo will have a son, respectively. These prophecies are based on Macbeth's sinful nature and his desire for power, which the witches see as a manifestation of his evil. The prophecies are a warning to Macbeth and Banquo, reminding them of their own consequences for their actions.",,,,,,
G4,What do the witches predict for Macbeth and Banquo?,evidence_retrieval,group,The witches predict Macbeth will be Thane of Cawdor and king; Banquo's descendants will be kings. Evidence from Act 1 Scene 3.,rag,False,"[Rank 1, score=0.697] [Macbeth, Act 1, Scene 3 (A heath. Thunder)]
Summary: The witches greet Macbeth with prophecies that awaken his ambition.
Summary: The witches greet Macbeth with prophecies that awaken his ambition. 
 Keywords: prophecy, Macbeth, Banquo 
 Location: A heath. Thunder 
 [Enter the three Witches.] 
 FIR
---
[Rank 2, score=0.662] [Macbeth, Act 1, Scene 1 (A desert place. Thunder and lightning)]
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Keywords: witches, prophecy, foul and fair
Location: A desert place. Thu
---
[Rank 3, score=0.658] [Macbeth, Act 3, Scene 1]
Summary: Macbeth fears Banquo and arranges to murder him and Fleance.
Summary: Macbeth fears Banquo and arranges to murder him and Fleance. 
 Keywords: Banquo, Fleance, paranoia 
 FORRES. The palace. 
 [Enter Banquo.] 
 BANQUO. Thou hast it now: King, Cawdor, Glamis, all, A","The witches predict for Macbeth and Banquo that Banquo will be the root and father of many kings, and that Macbeth's paranoia and fear of Banquo's prophecies will ultimately lead to his downfall. The witches also warn Macbeth of his own foulness and the dangers of trusting in prophecies, as he is soon to face the consequences of his actions. Additionally, the witches suggest that Macbeth should not forget his guest, who is a vital part of his supper. Overall, the witches' prophecies and warnings reflect the play's theme of morality, mortality, and the dangers of trusting in superstition.",,,,,,
G5,What happens in the play-within-a-play scene?,evidence_retrieval,group,"Hamlet stages 'The Mousetrap' to mirror Claudius's murder of his father. Claudius reacts with guilt, confirming the ghost's story. Act 3 Scene 2.",baseline,,N/A (no retrieval),"In the play-within-a-play scene of ""Twelfth Night,"" Viola disguises herself as a man named Cesario and pretends to be a servant to Olivia, the queen. She meets Olivia's lover, Sir Toby Belch, and they have a passionate love scene, which is interrupted by the arrival of Olivia's rival, Maria, who turns out to be a woman. Olivia decides to take matters into her own hands and sends Cesario back to his own time, disguised as a woman named Olivia. Cesario realizes that he is no longer in his own time and goes back to his own time, where he meets Olivia and returns to his own time.",,,,,,
G5,What happens in the play-within-a-play scene?,evidence_retrieval,group,"Hamlet stages 'The Mousetrap' to mirror Claudius's murder of his father. Claudius reacts with guilt, confirming the ghost's story. Act 3 Scene 2.",rag,False,"[Rank 1, score=0.459] [Hamlet, Act 3, Scene 2]
Summary: The play-within-a-play unsettles Claudius.
Summary: The play-within-a-play unsettles Claudius. 
 Keywords: play, Claudius, guilt 
 ELSINORE. hall in the Castle. 
 [Enter Hamlet and three of the Players.] 
 HAMLET. Speak the speech, I pray you, as I pronounc'd it to 
---
[Rank 2, score=0.370] [Hamlet, Act 1, Scene 4]
Summary: Hamlet waits for the ghost and follows it.
The very place puts toys of desperation, Without more motive, into every brain That looks so many fadoms to the sea And hears it roar beneath. 
 HAMLET. It waves me still. Go on. I'll follow thee. 
 MARCELLUS. You shall not
---
[Rank 3, score=0.367] [Macbeth, Act 1, Scene 1 (A desert place. Thunder and lightning)]
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Summary: The witches gather and set up the play’s atmosphere of moral confusion.
Keywords: witches, prophecy, foul and fair
Location: A desert place. Thu","The play-within-a-play scene in Shakespeare's Hamlet involves the characters of Hamlet and three of his Players, who are discussing the play that they are about to perform. The play, titled ""The Ghost,"" is described as being ""tributary to the tempest,"" with the players tearing up the ""rocks of the groundlings"" and causing a ""torrent"" that ""offends the soul"" to hear a ""robustious periwig-pated fellow tear a passion to tatters."" The characters also mention the ""hurdles"" that will be set up for them to perform in.

The play is a disaster, with the characters experiencing ""overdone, or come tardy off,"" as well as being ""torn by tempest,"" ""tormented by tempest,"" and ""offended by tempest,"" which further emphasizes the theme of moral confusion. The ""foul and fair"" conversation between the characters highlights the complexities of human nature and the inability to truly know oneself.

Overall, the play-within-a-play scene serves as a foreshadowing of the larger themes of the play, including the tension between the natural order of society and the unpredictable forces of human emotion and desire.",,,,,,
G6,How do Romeo and Juliet die?,contextual_qa,group,Romeo takes poison believing Juliet is dead; Juliet wakes and stabs herself. Miscommunication and the friar's failed plan are central. Act 5.,baseline,,N/A (no retrieval),"Answer: Romeo and Juliet die in a tragic love triangle. Romeo and Juliet fall in love, but their families forbid their marriage. The tragic result is that Romeo kills himself and Juliet dies of a broken heart.",,,,,,
